Hospital:1|50,53,5|1, 2, 3, 4, 5
Hospital:2|80,20,10|6, 7, 8, 9, 10, 11, 12, 13, 14, 15
Hospital:3|19,81,11|16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26
Hospital:4|82,74,5|27, 28, 29, 30, 31
Hospital:5|24,19,8|32, 33, 34, 35, 36, 37, 38, 39

Ambulance:8|80,20|70,81,42,70;110,81,52,101;128,83,51,137;211,83,63,75|82,74
Ambulance:8|82,74|275,58,70,123|50,53
Ambulance:8|50,53|288,58,53,149|50,53
Ambulance:20|19,81|260,40,87,80;117,39,90,75;108,38,90,115;33,26,90,105|19,81
Ambulance:20|19,81|114,31,91,133;189,35,92,132;12,36,89,133;64,36,82,143|19,81
Ambulance:20|19,81|205,29,79,165|19,81
Ambulance:5|50,53|5,38,42,94;232,29,42,88;20,31,42,107;31,31,47,77|50,53
Ambulance:5|50,53|149,54,39,155;86,59,32,142;220,59,41,137|50,53
Ambulance:30|82,74|144,90,82,91;264,91,87,83;101,95,85,93;115,94,74,79|82,74
Ambulance:30|82,74|120,91,71,139;178,91,83,124;50,95,85,142;148,97,83,131|82,74
Ambulance:28|82,74|30,75,36,90;296,73,32,110;34,72,29,126;91,72,29,120|80,20
Ambulance:28|80,20|68,96,20,124|80,20
Ambulance:36|24,19|276,9,6,146;107,7,3,94;187,8,1,122;165,22,3,119|24,19
Ambulance:36|24,19|277,30,10,148;236,36,2,139|24,19
Ambulance:34|24,19|209,10,29,98;245,9,33,124;237,1,35,140;2,1,31,95|24,19
Ambulance:34|24,19|259,33,6,163;131,42,3,162;201,35,16,163|24,19
Ambulance:31|82,74|243,93,39,106;145,98,37,113;214,99,32,106;14,90,23,105|80,20
Ambulance:31|80,20|169,75,17,164;45,72,19,139;122,78,27,143;226,78,24,159|80,20
Ambulance:38|24,19|112,56,7,93;289,58,4,154;229,58,12,98;283,73,14,113|80,20
Ambulance:38|80,20|172,60,19,152;85,68,16,145|80,20
Ambulance:29|82,74|152,78,79,77;158,75,85,115;251,70,87,127;239,71,87,70|82,74
Ambulance:29|82,74|147,69,59,122;35,57,59,123;225,57,57,116|50,53
Ambulance:27|82,74|253,97,92,99;57,95,93,118;10,93,95,102;27,88,99,99|82,74
Ambulance:27|82,74|47,89,97,152|82,74
Ambulance:4|50,53|171,37,57,84;82,28,57,89;252,23,57,93;287,21,53,118|50,53
Ambulance:4|50,53|58,55,59,159;123,57,64,143;175,53,66,121|50,53
Ambulance:2|50,53|190,95,50,136;181,97,51,115;228,100,53,107;163,98,59,122|82,74
Ambulance:2|82,74|116,84,71,133|82,74
Ambulance:1|50,53|155,64,57,100;17,63,50,98;124,62,43,107;167,51,44,90|50,53
Ambulance:1|50,53|207,70,49,136;233,72,44,154;44,70,43,141;146,58,44,135|50,53
Ambulance:35|24,19|39,8,53,93;151,9,57,128;297,10,65,104|19,81
Ambulance:35|19,81|186,10,72,155;240,17,74,156;218,18,76,143|19,81
Ambulance:24|19,81|222,53,79,122;41,54,72,87;137,48,69,128;51,50,61,99|50,53
Ambulance:24|50,53|81,52,26,168;180,51,26,141|50,53
Ambulance:3|50,53|271,57,28,90;8,64,26,75;125,66,28,150;93,69,19,126|80,20
Ambulance:3|80,20|126,82,16,139;291,85,26,134;183,87,34,141;242,86,33,147|80,20
Ambulance:32|24,19|168,36,26,85;285,28,13,72;282,26,14,143|24,19
Ambulance:32|24,19|274,25,11,133;268,34,7,155;164,35,5,123;69,39,10,121|24,19
Ambulance:32|24,19|284,40,23,165|24,19
Ambulance:33|24,19|246,28,31,89;290,30,36,122;1,24,37,72;62,23,34,137|24,19
Ambulance:33|24,19|100,20,7,147;223,21,12,96;197,24,15,146|24,19
Ambulance:33|24,19|105,24,25,157;267,27,30,156;46,26,21,129|24,19
Ambulance:22|19,81|230,15,45,112;13,13,42,93;19,13,33,85;241,13,27,92|24,19
Ambulance:22|24,19|261,38,36,155;36,39,48,167|50,53
